[I 2025-04-07 01:41:33,129] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:43:00,706] Trial 5 finished with value: 0.8058937266830796 and parameters: {'n_estimators': 45, 'learning_rate': 0.03317346252687095, 'criterion': 'gini', 'max_depth': 24, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:17,501] Trial 31 finished with value: 0.814781912659627 and parameters: {'n_estimators': 59, 'learning_rate': 0.23501842900145567, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 15}. Best is trial 30 with value: 0.815117377574636.
[I 2025-04-07 01:44:56,447] Trial 45 finished with value: 0.8082840679645944 and parameters: {'n_estimators': 53, 'learning_rate': 0.150291007443234, 'criterion': 'log_loss', 'max_depth': 6, 'min_samples_split': 64, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:50,744] Trial 60 finished with value: 0.8158717430995974 and parameters: {'n_estimators': 57, 'learning_rate': 0.020746639825769755, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 51, 'min_samples_leaf': 2}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:50,252] Trial 78 finished with value: 0.8063134356422246 and parameters: {'n_estimators': 64, 'learning_rate': 0.0034241613887188217, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 48, 'min_samples_leaf': 2}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:06,043] Trial 95 finished with value: 0.8168779621165392 and parameters: {'n_estimators': 61, 'learning_rate': 0.030666054077624037, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:49,677] Trial 110 finished with value: 0.8162073661698834 and parameters: {'n_estimators': 40, 'learning_rate': 0.02586276197276736, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:26,193] Trial 123 finished with value: 0.8143632756418029 and parameters: {'n_estimators': 36, 'learning_rate': 0.08654004924280816, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:05,045] Trial 132 finished with value: 0.8157043620982636 and parameters: {'n_estimators': 32, 'learning_rate': 0.10830818785938057, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:58,636] Trial 147 finished with value: 0.8149078394056174 and parameters: {'n_estimators': 31, 'learning_rate': 0.038534942996459175, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 26, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:22,645] Trial 165 finished with value: 0.8150338364428418 and parameters: {'n_estimators': 39, 'learning_rate': 0.1792263200417346, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 6}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:10,491] Trial 180 finished with value: 0.8154110192053224 and parameters: {'n_estimators': 42, 'learning_rate': 0.07080495847053561, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:57,386] Trial 193 finished with value: 0.8159140935681763 and parameters: {'n_estimators': 43, 'learning_rate': 0.0319901390605355, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:54,092] Trial 207 finished with value: 0.815201199871367 and parameters: {'n_estimators': 37, 'learning_rate': 0.051760093427374226, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 55, 'min_samples_leaf': 9}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:02,489] Trial 222 finished with value: 0.8157463962562888 and parameters: {'n_estimators': 46, 'learning_rate': 0.02336564540390533, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 10, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:53,738] Trial 240 finished with value: 0.8172135676140169 and parameters: {'n_estimators': 38, 'learning_rate': 0.08588879287956254, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:08,920] Trial 252 finished with value: 0.8119728640690541 and parameters: {'n_estimators': 38, 'learning_rate': 0.04898545638668701, 'criterion': 'log_loss', 'max_depth': 26, 'min_samples_split': 4, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:59,939] Trial 270 finished with value: 0.8159558289884565 and parameters: {'n_estimators': 35, 'learning_rate': 0.06335788312131106, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 9, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:23,161] Trial 282 finished with value: 0.8164170800669875 and parameters: {'n_estimators': 58, 'learning_rate': 0.046611598290622606, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:32,920] Trial 296 finished with value: 0.8141951565825105 and parameters: {'n_estimators': 59, 'learning_rate': 0.03731590286931977, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:07,296] Trial 311 finished with value: 0.8154526140431342 and parameters: {'n_estimators': 63, 'learning_rate': 0.11267934171113926, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:05:56,530] Trial 327 finished with value: 0.8180938598849684 and parameters: {'n_estimators': 36, 'learning_rate': 0.052153768959706505, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 28}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:37,654] Trial 338 finished with value: 0.8122251568812482 and parameters: {'n_estimators': 36, 'learning_rate': 0.07121050760986812, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 28}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:25,950] Trial 355 finished with value: 0.8170459757389805 and parameters: {'n_estimators': 36, 'learning_rate': 0.05688700652026122, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 60, 'min_samples_leaf': 26}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:14,439] Trial 371 finished with value: 0.8159143571603045 and parameters: {'n_estimators': 38, 'learning_rate': 0.02946777954840877, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 26}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:01,536] Trial 386 finished with value: 0.814865734956358 and parameters: {'n_estimators': 35, 'learning_rate': 0.15761280986676995, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 23}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:44,454] Trial 399 finished with value: 0.8144468694920228 and parameters: {'n_estimators': 35, 'learning_rate': 0.07535752360678612, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:30,450] Trial 414 finished with value: 0.8172138487789535 and parameters: {'n_estimators': 33, 'learning_rate': 0.04370902177862209, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 57, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:56,994] Trial 426 finished with value: 0.816207383742692 and parameters: {'n_estimators': 60, 'learning_rate': 0.041212505663739865, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:13:19,916] Trial 446 finished with value: 0.816710563542397 and parameters: {'n_estimators': 56, 'learning_rate': 0.021900855594436358, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 43, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:14:46,912] Trial 462 finished with value: 0.816836349705919 and parameters: {'n_estimators': 57, 'learning_rate': 0.02456137422465481, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:16:22,952] Trial 478 finished with value: 0.8146141802021225 and parameters: {'n_estimators': 54, 'learning_rate': 0.012283702407183898, 'criterion': 'log_loss', 'max_depth': 31, 'min_samples_split': 55, 'min_samples_leaf': 18}. Best is trial 460 with value: 0.8184711480843003.
[I 2025-04-07 02:17:56,813] Trial 497 finished with value: 0.817632731816097 and parameters: {'n_estimators': 58, 'learning_rate': 0.032719522077474604, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:19:37,738] Trial 514 finished with value: 0.8165846895148323 and parameters: {'n_estimators': 59, 'learning_rate': 0.030707889508361955, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 57, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:21:10,022] Trial 530 finished with value: 0.8168364024243446 and parameters: {'n_estimators': 59, 'learning_rate': 0.02239393521458322, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 52, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:22:24,149] Trial 545 finished with value: 0.8151595523151297 and parameters: {'n_estimators': 61, 'learning_rate': 0.01935036078606631, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 52, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:23:46,189] Trial 560 finished with value: 0.8149915914111141 and parameters: {'n_estimators': 60, 'learning_rate': 0.04411274875299382, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 12}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:25:13,379] Trial 575 finished with value: 0.8177585531252362 and parameters: {'n_estimators': 59, 'learning_rate': 0.03853076110648106, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:26:43,262] Trial 592 finished with value: 0.8165427256480411 and parameters: {'n_estimators': 59, 'learning_rate': 0.05796465606402158, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:28:29,057] Trial 608 finished with value: 0.8151172018465507 and parameters: {'n_estimators': 60, 'learning_rate': 0.014881225565236356, 'criterion': 'log_loss', 'max_depth': 18, 'min_samples_split': 61, 'min_samples_leaf': 19}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:29:57,626] Trial 625 finished with value: 0.8162492597454403 and parameters: {'n_estimators': 62, 'learning_rate': 0.027745011213739224, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 56, 'min_samples_leaf': 14}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:31:50,733] Trial 641 finished with value: 0.8113859498366608 and parameters: {'n_estimators': 58, 'learning_rate': 0.04015302864225269, 'criterion': 'entropy', 'max_depth': 27, 'min_samples_split': 38, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:32:42,534] Trial 661 finished with value: 0.8163753270738988 and parameters: {'n_estimators': 36, 'learning_rate': 0.07689292516966763, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:33:35,411] Trial 673 finished with value: 0.8146564076610415 and parameters: {'n_estimators': 39, 'learning_rate': 0.018151431604937523, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:34:26,835] Trial 685 finished with value: 0.8136921700836993 and parameters: {'n_estimators': 52, 'learning_rate': 0.10102538589457247, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 57, 'min_samples_leaf': 31}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:35:51,595] Trial 701 finished with value: 0.8172135851868253 and parameters: {'n_estimators': 55, 'learning_rate': 0.03432056576516501, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 57, 'min_samples_leaf': 13}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:37:17,137] Trial 716 finished with value: 0.8175069105069579 and parameters: {'n_estimators': 53, 'learning_rate': 0.024667807170112282, 'criterion': 'log_loss', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:38:47,009] Trial 733 finished with value: 0.8159139178400909 and parameters: {'n_estimators': 52, 'learning_rate': 0.024651037877910592, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 56, 'min_samples_leaf': 15}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:40:14,744] Trial 749 finished with value: 0.8151171315553165 and parameters: {'n_estimators': 54, 'learning_rate': 0.018369153460206032, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 496 with value: 0.8187649127246465.
[I 2025-04-07 02:41:36,301] Trial 764 finished with value: 0.8172136906236765 and parameters: {'n_estimators': 55, 'learning_rate': 0.029347810259018864, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 496 with value: 0.8187649127246465.
訓練集準確率: 0.8659288139856621
測試集準確率: 0.8076794097920859
10-fold CV 準確率:  0.8187649127246465

