[I 2025-04-07 01:41:33,484] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:09,400] Trial 14 finished with value: 0.8119725477585005 and parameters: {'n_estimators': 19, 'learning_rate': 0.08337994171956332, 'criterion': 'entropy', 'max_depth': 29, 'min_samples_split': 56, 'min_samples_leaf': 19}. Best is trial 14 with value: 0.8119725477585005.
[I 2025-04-07 01:43:28,804] Trial 17 finished with value: 0.8067325646986878 and parameters: {'n_estimators': 39, 'learning_rate': 0.3221768422750721, 'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 47, 'min_samples_leaf': 16}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:52,087] Trial 34 finished with value: 0.8146562670785734 and parameters: {'n_estimators': 61, 'learning_rate': 0.1522202020116215, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 13}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:12,664] Trial 58 finished with value: 0.8153689323288715 and parameters: {'n_estimators': 49, 'learning_rate': 0.014122915781171379, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 53, 'min_samples_leaf': 18}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:00,925] Trial 70 finished with value: 0.8096671710062718 and parameters: {'n_estimators': 64, 'learning_rate': 0.004054980088748367, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 49, 'min_samples_leaf': 23}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:15,270] Trial 87 finished with value: 0.8104635179708326 and parameters: {'n_estimators': 8, 'learning_rate': 0.04894709043703723, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 56, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:27,286] Trial 91 finished with value: 0.813692029501231 and parameters: {'n_estimators': 44, 'learning_rate': 0.07474675743143067, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 47, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:51,367] Trial 100 finished with value: 0.8146560034864452 and parameters: {'n_estimators': 41, 'learning_rate': 0.02825206444849089, 'criterion': 'log_loss', 'max_depth': 32, 'min_samples_split': 58, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:27,951] Trial 125 finished with value: 0.8136084180782026 and parameters: {'n_estimators': 37, 'learning_rate': 0.09978567800528498, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 59, 'min_samples_leaf': 12}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:05,706] Trial 133 finished with value: 0.8155786110803588 and parameters: {'n_estimators': 33, 'learning_rate': 0.036131701724650425, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 12}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:53:23,169] Trial 149 finished with value: 0.8146561440689135 and parameters: {'n_estimators': 39, 'learning_rate': 0.04651726582434883, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 54, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:45,824] Trial 170 finished with value: 0.8162074188883089 and parameters: {'n_estimators': 46, 'learning_rate': 0.0684529361550106, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 57, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:31,761] Trial 186 finished with value: 0.8156624860955152 and parameters: {'n_estimators': 42, 'learning_rate': 0.029444554031038433, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:32,464] Trial 201 finished with value: 0.816039668857996 and parameters: {'n_estimators': 44, 'learning_rate': 0.12520135886297978, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 61, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:28,255] Trial 217 finished with value: 0.8107994046332466 and parameters: {'n_estimators': 40, 'learning_rate': 0.014670848014505175, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 36, 'min_samples_leaf': 4}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:37,884] Trial 231 finished with value: 0.8156619413384505 and parameters: {'n_estimators': 47, 'learning_rate': 0.09230008664229829, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 19, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:59:41,248] Trial 246 finished with value: 0.8162075067523515 and parameters: {'n_estimators': 48, 'learning_rate': 0.07637884618074335, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:26,425] Trial 261 finished with value: 0.8175071916718947 and parameters: {'n_estimators': 35, 'learning_rate': 0.06137688805722528, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:01:14,457] Trial 273 finished with value: 0.8147405462683261 and parameters: {'n_estimators': 35, 'learning_rate': 0.058969708840343, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 13, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:38,867] Trial 283 finished with value: 0.8169202598666926 and parameters: {'n_estimators': 59, 'learning_rate': 0.046116285893865815, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 19}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:03:52,367] Trial 300 finished with value: 0.8142792248985609 and parameters: {'n_estimators': 55, 'learning_rate': 0.03479363499380189, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 63, 'min_samples_leaf': 22}. Best is trial 121 with value: 0.8182618559346011.
