[I 2025-04-07 01:41:32,972] A new study created in RDB with name: adaboost
[I 2025-04-07 01:43:08,920] Trial 0 finished with value: 0.7953295165193188 and parameters: {'n_estimators': 59, 'learning_rate': 0.00016588682654751993, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 36, 'min_samples_leaf': 18}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:22,702] Trial 32 finished with value: 0.8155366999319933 and parameters: {'n_estimators': 63, 'learning_rate': 0.21034468907080037, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 46, 'min_samples_leaf': 14}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:44:57,006] Trial 48 finished with value: 0.8001508449884988 and parameters: {'n_estimators': 54, 'learning_rate': 0.010601860042995265, 'criterion': 'log_loss', 'max_depth': 5, 'min_samples_split': 53, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:31,706] Trial 62 finished with value: 0.7991024336582546 and parameters: {'n_estimators': 57, 'learning_rate': 0.5974622232477913, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 51, 'min_samples_leaf': 24}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:47:36,664] Trial 75 finished with value: 0.8083675915235802 and parameters: {'n_estimators': 39, 'learning_rate': 0.005701536241695787, 'criterion': 'log_loss', 'max_depth': 17, 'min_samples_split': 40, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:50,554] Trial 81 finished with value: 0.8144040094119962 and parameters: {'n_estimators': 64, 'learning_rate': 0.059901896010474, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 56, 'min_samples_leaf': 4}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:41,275] Trial 106 finished with value: 0.8169623643159521 and parameters: {'n_estimators': 40, 'learning_rate': 0.026125751179015895, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:28,456] Trial 120 finished with value: 0.8150337134331821 and parameters: {'n_estimators': 37, 'learning_rate': 0.08430648065074092, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 59, 'min_samples_leaf': 7}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:09,938] Trial 135 finished with value: 0.8168782432814761 and parameters: {'n_estimators': 32, 'learning_rate': 0.041930802538945246, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 7}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:55,770] Trial 151 finished with value: 0.813608013903606 and parameters: {'n_estimators': 28, 'learning_rate': 0.019517638984233043, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:21,189] Trial 164 finished with value: 0.8140273714065802 and parameters: {'n_estimators': 39, 'learning_rate': 0.019161954261864605, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 64, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:06,816] Trial 179 finished with value: 0.8156626793964092 and parameters: {'n_estimators': 42, 'learning_rate': 0.07096634312497173, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 13}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:44,146] Trial 190 finished with value: 0.814321188765352 and parameters: {'n_estimators': 35, 'learning_rate': 0.12357532217626552, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 8}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:56:44,052] Trial 204 finished with value: 0.8156204870831072 and parameters: {'n_estimators': 44, 'learning_rate': 0.05524955258309689, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 58, 'min_samples_leaf': 10}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:57:49,694] Trial 220 finished with value: 0.8154530357905392 and parameters: {'n_estimators': 40, 'learning_rate': 0.015073595409065174, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 55, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:58:49,633] Trial 237 finished with value: 0.8155367877960359 and parameters: {'n_estimators': 46, 'learning_rate': 0.08738844463217839, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 56, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:00:09,800] Trial 251 finished with value: 0.8172975832116418 and parameters: {'n_estimators': 61, 'learning_rate': 0.04689667600534628, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 17}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:01:30,524] Trial 271 finished with value: 0.8174231760742698 and parameters: {'n_estimators': 61, 'learning_rate': 0.059480267009089684, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 63, 'min_samples_leaf': 20}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:02:45,586] Trial 288 finished with value: 0.8142371731677273 and parameters: {'n_estimators': 60, 'learning_rate': 0.0390540537751723, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 22}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:04:39,150] Trial 302 finished with value: 0.8123504334333227 and parameters: {'n_estimators': 62, 'learning_rate': 0.03919034385150697, 'criterion': 'log_loss', 'max_depth': 29, 'min_samples_split': 63, 'min_samples_leaf': 22}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:01,887] Trial 322 finished with value: 0.8162910127385288 and parameters: {'n_estimators': 63, 'learning_rate': 0.10737695603198194, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 62, 'min_samples_leaf': 18}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:06:42,892] Trial 343 finished with value: 0.813021363263341 and parameters: {'n_estimators': 36, 'learning_rate': 0.052631752866438834, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 61, 'min_samples_leaf': 30}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:07:26,008] Trial 358 finished with value: 0.8159977577096305 and parameters: {'n_estimators': 32, 'learning_rate': 0.05099151549060186, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 59, 'min_samples_leaf': 26}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:08:18,040] Trial 372 finished with value: 0.815452965499305 and parameters: {'n_estimators': 38, 'learning_rate': 0.030064761292809473, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 58, 'min_samples_leaf': 27}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:09:04,321] Trial 387 finished with value: 0.8141112639945455 and parameters: {'n_estimators': 35, 'learning_rate': 0.15107883524210663, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 23}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:10:03,512] Trial 402 finished with value: 0.8157880965309519 and parameters: {'n_estimators': 33, 'learning_rate': 0.08417308128199498, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 62, 'min_samples_leaf': 14}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 02:11:17,788] Trial 418 finished with value: 0.8170041700274663 and parameters: {'n_estimators': 53, 'learning_rate': 0.04094746290569911, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 54, 'min_samples_leaf': 16}. Best is trial 121 with value: 0.8182618559346011.
