[I 2025-04-07 01:41:33,177] Using an existing study with name 'adaboost' instead of creating a new one.
[I 2025-04-07 01:42:28,945] Trial 6 finished with value: 0.789544231637733 and parameters: {'n_estimators': 27, 'learning_rate': 0.002632421942391965, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 6}. Best is trial 14 with value: 0.8119725477585005.
[I 2025-04-07 01:42:32,934] Trial 21 finished with value: 0.7542439914174404 and parameters: {'n_estimators': 15, 'learning_rate': 0.010058483040430128, 'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 30}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:43:30,120] Trial 24 finished with value: 0.7988088096003768 and parameters: {'n_estimators': 43, 'learning_rate': 0.0001049215856605636, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 43, 'min_samples_leaf': 12}. Best is trial 18 with value: 0.8139437248379349.
[I 2025-04-07 01:44:34,438] Trial 36 finished with value: 0.8144049759164659 and parameters: {'n_estimators': 54, 'learning_rate': 0.11950842818275163, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 64, 'min_samples_leaf': 11}. Best is trial 32 with value: 0.8155366999319933.
[I 2025-04-07 01:45:09,932] Trial 49 finished with value: 0.7949941394683523 and parameters: {'n_estimators': 54, 'learning_rate': 0.018305325287531243, 'criterion': 'log_loss', 'max_depth': 5, 'min_samples_split': 52, 'min_samples_leaf': 19}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:46:57,406] Trial 64 finished with value: 0.8030851174127204 and parameters: {'n_estimators': 57, 'learning_rate': 0.502906792701472, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 50, 'min_samples_leaf': 2}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:48:47,281] Trial 79 finished with value: 0.8107571068830934 and parameters: {'n_estimators': 64, 'learning_rate': 0.006022503884352259, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 39, 'min_samples_leaf': 21}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:49:55,654] Trial 94 finished with value: 0.8156205398015327 and parameters: {'n_estimators': 43, 'learning_rate': 0.02799176958298773, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 47, 'min_samples_leaf': 17}. Best is trial 37 with value: 0.8173394767871986.
[I 2025-04-07 01:50:51,107] Trial 109 finished with value: 0.8165849179613434 and parameters: {'n_estimators': 42, 'learning_rate': 0.028615149036129526, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 16}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:51:25,701] Trial 124 finished with value: 0.8112189554371149 and parameters: {'n_estimators': 34, 'learning_rate': 0.008954766466404697, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 59, 'min_samples_leaf': 14}. Best is trial 96 with value: 0.8178426390140953.
[I 2025-04-07 01:52:04,900] Trial 131 finished with value: 0.8149076109591062 and parameters: {'n_estimators': 34, 'learning_rate': 0.04137943579269102, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 55, 'min_samples_leaf': 11}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:52:39,801] Trial 146 finished with value: 0.8126439169087322 and parameters: {'n_estimators': 29, 'learning_rate': 0.3368323562475784, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 23, 'min_samples_leaf': 3}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:54:20,313] Trial 162 finished with value: 0.8144883588929833 and parameters: {'n_estimators': 39, 'learning_rate': 0.019940379443906933, 'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 57, 'min_samples_leaf': 15}. Best is trial 121 with value: 0.8182618559346011.
[I 2025-04-07 01:55:15,401] Trial 177 finished with value: 0.8150755718631219 and parameters: {'n_estimators': 42, 'learning_rate': 0.07277809018570895, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 60, 'min_samples_leaf': 5}. Best is trial 121 with value: 0.8182618559346011.
