[I 2025-04-07 02:55:29,052] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 02:55:43,950] Trial 1 finished with value: 0.7692942935818833 and parameters: {'iterations': 210, 'learning_rate': 0.014668423659206163, 'objective': 'Logloss', 'colsample_bylevel': 0.3862066476840259, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.58524424552269}. Best is trial 0 with value: 0.7843873855351184.
[I 2025-04-07 02:56:12,401] Trial 5 finished with value: 0.8050979947668176 and parameters: {'iterations': 195, 'learning_rate': 0.9482797533702514, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9387089357866077, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.20310612901745873}. Best is trial 5 with value: 0.8050979947668176.
[I 2025-04-07 02:56:48,789] Trial 8 finished with value: 0.7585200883560814 and parameters: {'iterations': 206, 'learning_rate': 0.003336932875319682, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.252528507311575, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3326530819464963}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:59:54,167] Trial 16 finished with value: 0.8154109664868969 and parameters: {'iterations': 250, 'learning_rate': 0.24335675114809246, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.96786845002163, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6830130009484506}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:01:23,320] Trial 28 finished with value: 0.8146141977749309 and parameters: {'iterations': 217, 'learning_rate': 0.06699785756348758, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8279049654611639, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5130614769088735}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:40,662] Trial 45 finished with value: 0.8187226501201101 and parameters: {'iterations': 190, 'learning_rate': 0.1850791197006032, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.77362850587482, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9430044926169698}. Best is trial 44 with value: 0.8193519323938909.
[I 2025-04-07 03:02:05,352] Trial 49 finished with value: 0.8167525801276136 and parameters: {'iterations': 195, 'learning_rate': 0.2175080267339436, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8921547904081333, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.13805618314126333}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:02,372] Trial 52 finished with value: 0.80828399767336 and parameters: {'iterations': 209, 'learning_rate': 0.10818194921209924, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9142815461767035, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.171817235056205}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:27,087] Trial 56 finished with value: 0.8174231409286525 and parameters: {'iterations': 180, 'learning_rate': 0.46145285986799145, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.42064829211425014, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8511881413081898}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:37,818] Trial 62 finished with value: 0.7843034050831106 and parameters: {'iterations': 165, 'learning_rate': 0.002132924779583026, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7895822444595115, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7738950343631555}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:03:52,699] Trial 65 finished with value: 0.8185136039897305 and parameters: {'iterations': 172, 'learning_rate': 0.16929686633437174, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7925441969989252, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9201182045610508}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:04:12,986] Trial 69 finished with value: 0.8197706924213748 and parameters: {'iterations': 188, 'learning_rate': 0.3517415910073981, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9942835092725049, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9512848114089557}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:04,124] Trial 74 finished with value: 0.8174232112198867 and parameters: {'iterations': 200, 'learning_rate': 0.23939203927609934, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9559375235530327, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9818911301610355}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:05:15,472] Trial 78 finished with value: 0.8157884479871227 and parameters: {'iterations': 66, 'learning_rate': 0.21201800815227806, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9019507853039106, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9073934283835975}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:00,523] Trial 80 finished with value: 0.81515942930547 and parameters: {'iterations': 220, 'learning_rate': 0.463302692905729, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.973205242975619, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9526889917062319}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:15,027] Trial 86 finished with value: 0.8178004818464102 and parameters: {'iterations': 176, 'learning_rate': 0.2735660082239161, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8441243672910647, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5194770063956735}. Best is trial 47 with value: 0.8203578175274707.
[I 2025-04-07 03:06:30,208] Trial 88 finished with value: 0.8152012701626014 and parameters: {'iterations': 183, 'learning_rate': 0.5685291973342768, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8825780037234364, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4536122583226851}. Best is trial 47 with value: 0.8203578175274707.
