[I 2025-04-07 02:55:29,051] A new study created in RDB with name: catboost
[I 2025-04-07 02:55:34,746] Trial 0 finished with value: 0.7843873855351184 and parameters: {'iterations': 141, 'learning_rate': 0.0013762567471527784, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7495094370377008, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.19607824257142809}. Best is trial 0 with value: 0.7843873855351184.
[I 2025-04-07 02:56:18,897] Trial 4 finished with value: 0.8079485679039682 and parameters: {'iterations': 204, 'learning_rate': 0.02357119337682841, 'objective': 'Logloss', 'colsample_bylevel': 0.47014065185008713, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.7703071984166865}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:56:25,316] Trial 9 finished with value: 0.7886217119078622 and parameters: {'iterations': 168, 'learning_rate': 0.0013007960690532637, 'objective': 'Logloss', 'colsample_bylevel': 0.6879135741368355, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.3085076436693295}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:56:34,887] Trial 10 finished with value: 0.7808659352863753 and parameters: {'iterations': 188, 'learning_rate': 0.011002710056686741, 'objective': 'Logloss', 'colsample_bylevel': 0.6993332401661874, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.058215125680044}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:56:38,582] Trial 12 finished with value: 0.7648928849455506 and parameters: {'iterations': 133, 'learning_rate': 0.009801715940986172, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.31712984094923335, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.38110043955749673}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:59:44,221] Trial 14 finished with value: 0.8110510823971419 and parameters: {'iterations': 246, 'learning_rate': 0.4083027219203655, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9993907393068086, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7147373222598395}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:00:07,460] Trial 27 finished with value: 0.813901708252718 and parameters: {'iterations': 227, 'learning_rate': 0.07286444111667961, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.23321682966174068, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5059366887653199}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:00:21,856] Trial 29 finished with value: 0.8192257596285811 and parameters: {'iterations': 181, 'learning_rate': 0.264459127003437, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8432477061986455, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8945214145477335}. Best is trial 29 with value: 0.8192257596285811.
[I 2025-04-07 03:00:37,567] Trial 31 finished with value: 0.8192259177838579 and parameters: {'iterations': 181, 'learning_rate': 0.2530794709618024, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8476016174468938, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8753356194374838}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:00:50,332] Trial 33 finished with value: 0.8186807916901703 and parameters: {'iterations': 145, 'learning_rate': 0.5831579686248998, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.819894300032718, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8965230822629489}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:01:05,904] Trial 35 finished with value: 0.815955881706882 and parameters: {'iterations': 177, 'learning_rate': 0.5868465884934233, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.810806369506091, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.907798293992639}. Best is trial 31 with value: 0.8192259177838579.
