[I 2025-04-07 02:55:29,127] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 02:56:02,828] Trial 3 finished with value: 0.7932332210430868 and parameters: {'iterations': 81, 'learning_rate': 0.001430158012731914, 'objective': 'Logloss', 'colsample_bylevel': 0.5583190320726895, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.46363088721983114}. Best is trial 2 with value: 0.793610649824887.
[I 2025-04-07 02:56:35,231] Trial 7 finished with value: 0.7991027323959997 and parameters: {'iterations': 132, 'learning_rate': 0.03137097400571258, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7568583918981976, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.939317292490999}. Best is trial 4 with value: 0.8079485679039682.
[I 2025-04-07 02:56:57,731] Trial 13 finished with value: 0.8133147237290904 and parameters: {'iterations': 241, 'learning_rate': 0.17976668538510768, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.13715753843605089, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8027522240783157}. Best is trial 13 with value: 0.8133147237290904.
[I 2025-04-07 02:57:17,419] Trial 17 finished with value: 0.8132725665614056 and parameters: {'iterations': 252, 'learning_rate': 0.14186707231592754, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.12344583651188173, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7702381257553874}. Best is trial 13 with value: 0.8133147237290904.
[I 2025-04-07 02:57:34,068] Trial 18 finished with value: 0.8122247527066518 and parameters: {'iterations': 254, 'learning_rate': 0.1581868318955894, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.1123858200377593, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7542079983823791}. Best is trial 13 with value: 0.8133147237290904.
[I 2025-04-07 02:57:52,814] Trial 19 finished with value: 0.814237173167727 and parameters: {'iterations': 233, 'learning_rate': 0.1087518925466514, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.20040548230184663, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6459150058536367}. Best is trial 19 with value: 0.814237173167727.
[I 2025-04-07 02:58:11,144] Trial 20 finished with value: 0.8159978631464817 and parameters: {'iterations': 225, 'learning_rate': 0.12854643960065176, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.2362729443142344, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.63431053261279}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 02:59:20,949] Trial 22 finished with value: 0.8132727598622994 and parameters: {'iterations': 222, 'learning_rate': 0.37471039607459206, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9435597061506764, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5934532765802749}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:00:13,610] Trial 24 finished with value: 0.8119732858164591 and parameters: {'iterations': 229, 'learning_rate': 0.07206419715931221, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.2284496008123344, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9843437031250235}. Best is trial 20 with value: 0.8159978631464817.
[I 2025-04-07 03:00:28,920] Trial 30 finished with value: 0.818764701850944 and parameters: {'iterations': 184, 'learning_rate': 0.27067840564034806, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8533605594832282, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5460633348427139}. Best is trial 29 with value: 0.8192257596285811.
[I 2025-04-07 03:00:41,050] Trial 32 finished with value: 0.815871725526789 and parameters: {'iterations': 152, 'learning_rate': 0.5449010003933026, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8269685309835211, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5400415342847067}. Best is trial 31 with value: 0.8192259177838579.
[I 2025-04-07 03:00:57,200] Trial 34 finished with value: 0.818177928201019 and parameters: {'iterations': 188, 'learning_rate': 0.22451084680864533, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8117170123522509, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8739897244578344}. Best is trial 31 with value: 0.8192259177838579.
