[I 2025-04-07 04:59:49,318] A new study created in RDB with name: random-forest
[I 2025-04-07 05:00:09,599] Trial 0 finished with value: 0.8124762020240361 and parameters: {'n_estimators': 172, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 16, 'min_samples_leaf': 13}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:20,280] Trial 6 finished with value: 0.8151173775746361 and parameters: {'n_estimators': 92, 'criterion': 'entropy', 'max_depth': 34, 'min_samples_split': 16, 'min_samples_leaf': 7}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:30,163] Trial 12 finished with value: 0.7601967451644025 and parameters: {'n_estimators': 85, 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:52,918] Trial 14 finished with value: 0.8105479201702452 and parameters: {'n_estimators': 198, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 7, 'min_samples_leaf': 20}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:59,580] Trial 19 finished with value: 0.8102122970999593 and parameters: {'n_estimators': 52, 'criterion': 'entropy', 'max_depth': 49, 'min_samples_split': 20, 'min_samples_leaf': 15}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:10,569] Trial 22 finished with value: 0.8174649466401668 and parameters: {'n_estimators': 80, 'criterion': 'entropy', 'max_depth': 54, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:22,519] Trial 25 finished with value: 0.8171714631647575 and parameters: {'n_estimators': 83, 'criterion': 'entropy', 'max_depth': 54, 'min_samples_split': 11, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:34,379] Trial 29 finished with value: 0.8171714631647575 and parameters: {'n_estimators': 84, 'criterion': 'entropy', 'max_depth': 56, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:39,889] Trial 33 finished with value: 0.8132307608498914 and parameters: {'n_estimators': 34, 'criterion': 'entropy', 'max_depth': 43, 'min_samples_split': 11, 'min_samples_leaf': 10}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:53,769] Trial 36 finished with value: 0.8162494881919514 and parameters: {'n_estimators': 101, 'criterion': 'entropy', 'max_depth': 59, 'min_samples_split': 9, 'min_samples_leaf': 6}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:06,810] Trial 40 finished with value: 0.8140693879917971 and parameters: {'n_estimators': 98, 'criterion': 'gini', 'max_depth': 53, 'min_samples_split': 8, 'min_samples_leaf': 5}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:18,630] Trial 44 finished with value: 0.8153688971832546 and parameters: {'n_estimators': 91, 'criterion': 'entropy', 'max_depth': 46, 'min_samples_split': 15, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:27,328] Trial 48 finished with value: 0.8170038185712956 and parameters: {'n_estimators': 60, 'criterion': 'gini', 'max_depth': 39, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:37,642] Trial 50 finished with value: 0.8155784704978902 and parameters: {'n_estimators': 80, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 13, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:55,760] Trial 54 finished with value: 0.8136081896316915 and parameters: {'n_estimators': 147, 'criterion': 'gini', 'max_depth': 29, 'min_samples_split': 17, 'min_samples_leaf': 8}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:10,966] Trial 58 finished with value: 0.815871989118917 and parameters: {'n_estimators': 113, 'criterion': 'gini', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:25,504] Trial 62 finished with value: 0.8178842689975239 and parameters: {'n_estimators': 111, 'criterion': 'entropy', 'max_depth': 61, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:41,840] Trial 66 finished with value: 0.8175070510894262 and parameters: {'n_estimators': 129, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
