[I 2025-04-07 04:59:49,343] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:00:06,115] Trial 1 finished with value: 0.8149917847120081 and parameters: {'n_estimators': 136, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:13,828] Trial 5 finished with value: 0.8131050098319864 and parameters: {'n_estimators': 63, 'criterion': 'entropy', 'max_depth': 41, 'min_samples_split': 14, 'min_samples_leaf': 9}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:26,957] Trial 8 finished with value: 0.8153270211805062 and parameters: {'n_estimators': 113, 'criterion': 'entropy', 'max_depth': 22, 'min_samples_split': 11, 'min_samples_leaf': 7}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:34,797] Trial 13 finished with value: 0.8092483406875537 and parameters: {'n_estimators': 61, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 6, 'min_samples_leaf': 20}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:51,550] Trial 16 finished with value: 0.8157044148166891 and parameters: {'n_estimators': 142, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:14,773] Trial 18 finished with value: 0.8122667341462513 and parameters: {'n_estimators': 200, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 20, 'min_samples_leaf': 17}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:26,663] Trial 26 finished with value: 0.8168778566796882 and parameters: {'n_estimators': 87, 'criterion': 'entropy', 'max_depth': 55, 'min_samples_split': 10, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:37,464] Trial 30 finished with value: 0.8167944034119365 and parameters: {'n_estimators': 76, 'criterion': 'entropy', 'max_depth': 42, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:47,689] Trial 34 finished with value: 0.8162493651822915 and parameters: {'n_estimators': 71, 'criterion': 'entropy', 'max_depth': 58, 'min_samples_split': 12, 'min_samples_leaf': 6}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:01,690] Trial 39 finished with value: 0.8144048001883805 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 52, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:16,663] Trial 43 finished with value: 0.7995220196077397 and parameters: {'n_estimators': 121, 'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:28,383] Trial 47 finished with value: 0.8166263897894954 and parameters: {'n_estimators': 92, 'criterion': 'gini', 'max_depth': 47, 'min_samples_split': 15, 'min_samples_leaf': 3}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:37,701] Trial 51 finished with value: 0.8140274065521975 and parameters: {'n_estimators': 67, 'criterion': 'gini', 'max_depth': 51, 'min_samples_split': 8, 'min_samples_leaf': 8}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:58,055] Trial 55 finished with value: 0.8148238589536095 and parameters: {'n_estimators': 165, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 18, 'min_samples_leaf': 5}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:12,731] Trial 60 finished with value: 0.8183034683452213 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:25,574] Trial 64 finished with value: 0.8167103878143116 and parameters: {'n_estimators': 94, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:42,106] Trial 67 finished with value: 0.8175489798106004 and parameters: {'n_estimators': 126, 'criterion': 'gini', 'max_depth': 61, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:53,474] Trial 71 finished with value: 0.8141112464217368 and parameters: {'n_estimators': 109, 'criterion': 'gini', 'max_depth': 63, 'min_samples_split': 3, 'min_samples_leaf': 12}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:10,650] Trial 75 finished with value: 0.8171717091840769 and parameters: {'n_estimators': 137, 'criterion': 'gini', 'max_depth': 40, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:26,101] Trial 79 finished with value: 0.8174232815111209 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:40,663] Trial 83 finished with value: 0.8154108610500457 and parameters: {'n_estimators': 104, 'criterion': 'gini', 'max_depth': 63, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:57,214] Trial 86 finished with value: 0.817632766961714 and parameters: {'n_estimators': 124, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
