[I 2025-04-07 04:59:49,326] Using an existing study with name 'random-forest' instead of creating a new one.
[I 2025-04-07 05:00:11,301] Trial 2 finished with value: 0.8160817557344467 and parameters: {'n_estimators': 192, 'criterion': 'entropy', 'max_depth': 57, 'min_samples_split': 18, 'min_samples_leaf': 6}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:14,708] Trial 7 finished with value: 0.8149494869618549 and parameters: {'n_estimators': 21, 'criterion': 'entropy', 'max_depth': 37, 'min_samples_split': 3, 'min_samples_leaf': 6}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:18,185] Trial 9 finished with value: 0.8126020409059838 and parameters: {'n_estimators': 18, 'criterion': 'entropy', 'max_depth': 27, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:36,514] Trial 10 finished with value: 0.8145725150730765 and parameters: {'n_estimators': 161, 'criterion': 'entropy', 'max_depth': 35, 'min_samples_split': 19, 'min_samples_leaf': 7}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:00:53,517] Trial 17 finished with value: 0.8154528776352624 and parameters: {'n_estimators': 138, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 20, 'min_samples_leaf': 4}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:00,230] Trial 20 finished with value: 0.8099610586562775 and parameters: {'n_estimators': 53, 'criterion': 'entropy', 'max_depth': 49, 'min_samples_split': 4, 'min_samples_leaf': 17}. Best is trial 3 with value: 0.8163331699062137.
[I 2025-04-07 05:01:15,480] Trial 23 finished with value: 0.8145724096362252 and parameters: {'n_estimators': 123, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 13, 'min_samples_leaf': 2}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:27,743] Trial 27 finished with value: 0.816165419875901 and parameters: {'n_estimators': 86, 'criterion': 'entropy', 'max_depth': 55, 'min_samples_split': 8, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8174649466401668.
[I 2025-04-07 05:01:37,794] Trial 31 finished with value: 0.8155364714854821 and parameters: {'n_estimators': 75, 'criterion': 'entropy', 'max_depth': 41, 'min_samples_split': 12, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:43,689] Trial 35 finished with value: 0.8146143383573993 and parameters: {'n_estimators': 37, 'criterion': 'entropy', 'max_depth': 58, 'min_samples_split': 11, 'min_samples_leaf': 9}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:01:58,357] Trial 38 finished with value: 0.8164589209241189 and parameters: {'n_estimators': 107, 'criterion': 'entropy', 'max_depth': 59, 'min_samples_split': 9, 'min_samples_leaf': 6}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:14,130] Trial 42 finished with value: 0.8167943331207024 and parameters: {'n_estimators': 123, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:29,147] Trial 46 finished with value: 0.817339195622262 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 46, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:39,395] Trial 52 finished with value: 0.8160396512851873 and parameters: {'n_estimators': 80, 'criterion': 'entropy', 'max_depth': 61, 'min_samples_split': 14, 'min_samples_leaf': 5}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:02:57,501] Trial 56 finished with value: 0.8169620128597813 and parameters: {'n_estimators': 149, 'criterion': 'gini', 'max_depth': 56, 'min_samples_split': 17, 'min_samples_leaf': 2}. Best is trial 28 with value: 0.8177586234164703.
[I 2025-04-07 05:03:12,616] Trial 59 finished with value: 0.8183034683452213 and parameters: {'n_estimators': 112, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:26,004] Trial 63 finished with value: 0.8155366296407591 and parameters: {'n_estimators': 95, 'criterion': 'entropy', 'max_depth': 61, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:03:42,626] Trial 68 finished with value: 0.8177585882708531 and parameters: {'n_estimators': 128, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:02,616] Trial 72 finished with value: 0.8140694407102226 and parameters: {'n_estimators': 181, 'criterion': 'gini', 'max_depth': 39, 'min_samples_split': 5, 'min_samples_leaf': 12}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:20,479] Trial 76 finished with value: 0.8165428838033181 and parameters: {'n_estimators': 138, 'criterion': 'gini', 'max_depth': 34, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:34,920] Trial 81 finished with value: 0.815452807344028 and parameters: {'n_estimators': 102, 'criterion': 'gini', 'max_depth': 44, 'min_samples_split': 6, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:04:51,437] Trial 84 finished with value: 0.8177585179796191 and parameters: {'n_estimators': 121, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:08,390] Trial 88 finished with value: 0.8162074716067347 and parameters: {'n_estimators': 126, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:27,035] Trial 92 finished with value: 0.8156624860955152 and parameters: {'n_estimators': 142, 'criterion': 'gini', 'max_depth': 42, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:40,132] Trial 97 finished with value: 0.8164167813292424 and parameters: {'n_estimators': 99, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 59 with value: 0.8183034683452213.
[I 2025-04-07 05:05:58,470] Trial 101 finished with value: 0.8174651047954435 and parameters: {'n_estimators': 155, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 59 with value: 0.8183034683452213.
