[I 2025-04-07 06:01:59,126] A new study created in RDB with name: xgboost
[I 2025-04-07 06:02:09,254] Trial 0 finished with value: 0.8191420076230844 and parameters: {'max_depth': 31, 'learning_rate': 0.024001034646451685, 'n_estimators': 180, 'gamma': 0.4261383471987868, 'min_child_weight': 4, 'subsample': 0.771899338683705, 'colsample_bytree': 0.8123570605549513}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:18,886] Trial 1 finished with value: 0.8146144789398676 and parameters: {'max_depth': 18, 'learning_rate': 0.00803061505814472, 'n_estimators': 192, 'gamma': 0.43021115128845, 'min_child_weight': 2, 'subsample': 0.7819192650668356, 'colsample_bytree': 0.841164449761612}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:20,827] Trial 2 finished with value: 0.6377394866279713 and parameters: {'max_depth': 5, 'learning_rate': 8.09286480439813e-05, 'n_estimators': 269, 'gamma': 0.1568315374788091, 'min_child_weight': 6, 'subsample': 0.6013142425522113, 'colsample_bytree': 0.9603049606505705}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:28,262] Trial 3 finished with value: 0.8168361739778337 and parameters: {'max_depth': 28, 'learning_rate': 0.006219070621169756, 'n_estimators': 276, 'gamma': 0.49669254601274554, 'min_child_weight': 5, 'subsample': 0.5287821781406004, 'colsample_bytree': 0.8540529674695333}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:30,358] Trial 4 finished with value: 0.6377394866279713 and parameters: {'max_depth': 10, 'learning_rate': 0.00014206808539809256, 'n_estimators': 105, 'gamma': 0.5220929898088559, 'min_child_weight': 1, 'subsample': 0.8421470391720913, 'colsample_bytree': 0.6432946586046597}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:37,052] Trial 5 finished with value: 0.6377394866279713 and parameters: {'max_depth': 15, 'learning_rate': 3.8803122799099707e-05, 'n_estimators': 257, 'gamma': 0.44398409099260455, 'min_child_weight': 3, 'subsample': 0.6148446775679257, 'colsample_bytree': 0.9396144637601693}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:39,524] Trial 6 finished with value: 0.8045947271030698 and parameters: {'max_depth': 5, 'learning_rate': 0.010358419428263462, 'n_estimators': 289, 'gamma': 0.05947491987040325, 'min_child_weight': 5, 'subsample': 0.5741723045393811, 'colsample_bytree': 0.826126637681565}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:45,600] Trial 7 finished with value: 0.6377394866279713 and parameters: {'max_depth': 31, 'learning_rate': 0.0007175906951275593, 'n_estimators': 222, 'gamma': 0.37294329822805383, 'min_child_weight': 4, 'subsample': 0.6191461397927995, 'colsample_bytree': 0.6868643485088568}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:49,896] Trial 8 finished with value: 0.7949103874628556 and parameters: {'max_depth': 30, 'learning_rate': 0.3531857449488631, 'n_estimators': 190, 'gamma': 0.047181566632005185, 'min_child_weight': 7, 'subsample': 0.7565763381312558, 'colsample_bytree': 0.9171469015261258}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:51,416] Trial 9 finished with value: 0.6377394866279713 and parameters: {'max_depth': 9, 'learning_rate': 0.0005328207414560057, 'n_estimators': 95, 'gamma': 0.4506600552832074, 'min_child_weight': 3, 'subsample': 0.8653844304733297, 'colsample_bytree': 0.7239917072059576}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:53,206] Trial 10 finished with value: 0.8074449487840495 and parameters: {'max_depth': 24, 'learning_rate': 0.283592021138929, 'n_estimators': 141, 'gamma': 0.5997735130256591, 'min_child_weight': 4, 'subsample': 0.9862393585939839, 'colsample_bytree': 0.5398554898795795}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:55,167] Trial 11 finished with value: 0.8171296574532431 and parameters: {'max_depth': 26, 'learning_rate': 0.028772239730231915, 'n_estimators': 63, 'gamma': 0.2735509332143765, 'min_child_weight': 5, 'subsample': 0.5084974093265171, 'colsample_bytree': 0.8231571733488295}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:02:57,379] Trial 12 finished with value: 0.8182615044784303 and parameters: {'max_depth': 23, 'learning_rate': 0.08218040293022391, 'n_estimators': 63, 'gamma': 0.25935245449329697, 'min_child_weight': 5, 'subsample': 0.6942094170357364, 'colsample_bytree': 0.7696803822583694}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:01,440] Trial 13 finished with value: 0.8167105283967799 and parameters: {'max_depth': 21, 'learning_rate': 0.062355348911486086, 'n_estimators': 146, 'gamma': 0.2627196336742866, 'min_child_weight': 7, 'subsample': 0.695092339648628, 'colsample_bytree': 0.7646729115632885}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:04,090] Trial 14 finished with value: 0.8150757651640157 and parameters: {'max_depth': 23, 'learning_rate': 0.05201733686694797, 'n_estimators': 58, 'gamma': 0.18750640549545533, 'min_child_weight': 3, 'subsample': 0.6953295501173106, 'colsample_bytree': 0.5975241308371788}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:06,711] Trial 15 finished with value: 0.7737390016184555 and parameters: {'max_depth': 20, 'learning_rate': 0.8214336422107434, 'n_estimators': 154, 'gamma': 0.32344851392132296, 'min_child_weight': 6, 'subsample': 0.6970590880240002, 'colsample_bytree': 0.7478348610338528}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:10,436] Trial 16 finished with value: 0.6377394866279713 and parameters: {'max_depth': 32, 'learning_rate': 0.0015430265051173287, 'n_estimators': 111, 'gamma': 0.186624458095638, 'min_child_weight': 6, 'subsample': 0.8362493148502614, 'colsample_bytree': 0.7806850251575983}. Best is trial 0 with value: 0.8191420076230844.
[I 2025-04-07 06:03:14,431] Trial 17 finished with value: 0.8118052546212094 and parameters: {'max_depth': 27, 'learning_rate': 0.12506131644636145, 'n_estimators': 228, 'gamma': 0.34880798258611967, 'min_child_weight': 4, 'subsample': 0.9177319961426751, 'colsample_bytree': 0.9050623391985182}. Best is trial 0 with value: 0.8191420076230844.
