[I 2025-04-07 21:59:14,550] A new study created in RDB with name: adaboost-num_features-13
[I 2025-04-07 22:00:48,533] Trial 0 finished with value: 0.8176748889837822 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:01:36,370] Trial 1 finished with value: 0.7536570596122385 and parameters: {'n_estimators': 24, 'learning_rate': 1.5653376191866881, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 53, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:03:23,693] Trial 2 finished with value: 0.8037980462551466 and parameters: {'n_estimators': 54, 'learning_rate': 0.000432471174566828, 'criterion': 'log_loss', 'max_depth': 24, 'min_samples_split': 31, 'min_samples_leaf': 26}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:03:55,485] Trial 3 finished with value: 0.8054331257984645 and parameters: {'n_estimators': 14, 'learning_rate': 0.02509275493260828, 'criterion': 'log_loss', 'max_depth': 29, 'min_samples_split': 39, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:05:33,158] Trial 4 finished with value: 0.7765898383477342 and parameters: {'n_estimators': 56, 'learning_rate': 3.5011515054910993, 'criterion': 'log_loss', 'max_depth': 12, 'min_samples_split': 63, 'min_samples_leaf': 31}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:06:32,917] Trial 5 finished with value: 0.8048463345757308 and parameters: {'n_estimators': 33, 'learning_rate': 0.0013759363019401213, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 2, 'min_samples_leaf': 30}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:08:38,461] Trial 6 finished with value: 0.7462366776145265 and parameters: {'n_estimators': 58, 'learning_rate': 1.8923523952912318, 'criterion': 'log_loss', 'max_depth': 21, 'min_samples_split': 5, 'min_samples_leaf': 30}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:10:24,140] Trial 7 finished with value: 0.7678711245367368 and parameters: {'n_estimators': 64, 'learning_rate': 9.666606531803755, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 18, 'min_samples_leaf': 28}. Best is trial 0 with value: 0.8176748889837822.
[I 2025-04-07 22:10:37,732] A new study created in RDB with name: adaboost-num_features-12
[I 2025-04-07 22:12:19,441] Trial 0 finished with value: 0.8170458351565122 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:13:14,193] Trial 1 finished with value: 0.8087452136062743 and parameters: {'n_estimators': 28, 'learning_rate': 0.0045342577043341065, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 64, 'min_samples_leaf': 30}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:15:05,403] Trial 2 finished with value: 0.8044274691113957 and parameters: {'n_estimators': 60, 'learning_rate': 0.00042651888573270606, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 15, 'min_samples_leaf': 31}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:15:35,862] Trial 3 finished with value: 0.803295376066889 and parameters: {'n_estimators': 17, 'learning_rate': 0.0018279863593313342, 'criterion': 'log_loss', 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 28}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:15:54,369] Trial 4 finished with value: 0.7542439914174404 and parameters: {'n_estimators': 39, 'learning_rate': 0.00010930866206077807, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 54, 'min_samples_leaf': 25}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:17:14,705] Trial 5 finished with value: 0.7840528519789618 and parameters: {'n_estimators': 38, 'learning_rate': 0.00016673465951470872, 'criterion': 'gini', 'max_depth': 22, 'min_samples_split': 39, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:19:18,576] Trial 6 finished with value: 0.7940297613085416 and parameters: {'n_estimators': 60, 'learning_rate': 1.1057275009394425, 'criterion': 'gini', 'max_depth': 21, 'min_samples_split': 35, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:20:55,807] Trial 7 finished with value: 0.804720390256932 and parameters: {'n_estimators': 49, 'learning_rate': 0.0006965585951950098, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 27, 'min_samples_leaf': 25}. Best is trial 0 with value: 0.8170458351565122.
[I 2025-04-07 22:21:08,069] A new study created in RDB with name: adaboost-num_features-11
[I 2025-04-07 22:22:57,167] Trial 0 finished with value: 0.8158301834074028 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:23:58,442] Trial 1 finished with value: 0.8150333444042026 and parameters: {'n_estimators': 40, 'learning_rate': 0.18729400424725126, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 45, 'min_samples_leaf': 28}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:25:14,701] Trial 2 finished with value: 0.7743260037148917 and parameters: {'n_estimators': 41, 'learning_rate': 1.4168914875759346, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 46, 'min_samples_leaf': 22}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:27:12,876] Trial 3 finished with value: 0.80493029745493 and parameters: {'n_estimators': 62, 'learning_rate': 0.0005527466812641278, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 32}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:28:35,205] Trial 4 finished with value: 0.8067747394391814 and parameters: {'n_estimators': 53, 'learning_rate': 0.00012105820327639174, 'criterion': 'log_loss', 'max_depth': 11, 'min_samples_split': 61, 'min_samples_leaf': 11}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:29:16,517] Trial 5 finished with value: 0.8075296321483989 and parameters: {'n_estimators': 51, 'learning_rate': 0.15202311812150063, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:30:03,009] Trial 6 finished with value: 0.8039243771757334 and parameters: {'n_estimators': 57, 'learning_rate': 0.0006765431961318864, 'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 15, 'min_samples_leaf': 14}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:30:35,342] Trial 7 finished with value: 0.6940439777106497 and parameters: {'n_estimators': 22, 'learning_rate': 9.228494227277993, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 26}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:31:29,096] Trial 8 finished with value: 0.8141116681691418 and parameters: {'n_estimators': 61, 'learning_rate': 1.0179264055658497, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 28, 'min_samples_leaf': 27}. Best is trial 0 with value: 0.8158301834074028.
[I 2025-04-07 22:31:41,798] A new study created in RDB with name: adaboost-num_features-10
[I 2025-04-07 22:33:27,625] Trial 0 finished with value: 0.816500990227761 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:34:16,835] Trial 1 finished with value: 0.7736972310525585 and parameters: {'n_estimators': 25, 'learning_rate': 9.13565715933448, 'criterion': 'entropy', 'max_depth': 27, 'min_samples_split': 64, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:35:38,137] Trial 2 finished with value: 0.8082417526416323 and parameters: {'n_estimators': 35, 'learning_rate': 0.08813461421763225, 'criterion': 'log_loss', 'max_depth': 31, 'min_samples_split': 46, 'min_samples_leaf': 12}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:35:47,385] Trial 3 finished with value: 0.7982223522610055 and parameters: {'n_estimators': 31, 'learning_rate': 1.2872775235036444, 'criterion': 'log_loss', 'max_depth': 2, 'min_samples_split': 60, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:36:05,446] Trial 4 finished with value: 0.8041346006842852 and parameters: {'n_estimators': 17, 'learning_rate': 0.0004057726276035513, 'criterion': 'log_loss', 'max_depth': 8, 'min_samples_split': 54, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:36:52,214] Trial 5 finished with value: 0.80845190585895 and parameters: {'n_estimators': 22, 'learning_rate': 0.04856919095164962, 'criterion': 'log_loss', 'max_depth': 29, 'min_samples_split': 42, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:38:10,916] Trial 6 finished with value: 0.7962517550842529 and parameters: {'n_estimators': 50, 'learning_rate': 0.000351358190890662, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 19, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:38:32,710] Trial 7 finished with value: 0.7946170269971058 and parameters: {'n_estimators': 11, 'learning_rate': 0.0003757697460850039, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 56, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:39:16,403] Trial 8 finished with value: 0.784890582907632 and parameters: {'n_estimators': 21, 'learning_rate': 0.0001424279213772353, 'criterion': 'gini', 'max_depth': 32, 'min_samples_split': 34, 'min_samples_leaf': 8}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:40:46,040] Trial 9 finished with value: 0.8136915550354005 and parameters: {'n_estimators': 47, 'learning_rate': 0.07384476022773281, 'criterion': 'log_loss', 'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 26}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:42:50,296] Trial 10 finished with value: 0.805936446180638 and parameters: {'n_estimators': 63, 'learning_rate': 0.0037094285948929733, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 21, 'min_samples_leaf': 22}. Best is trial 0 with value: 0.816500990227761.
[I 2025-04-07 22:43:02,910] A new study created in RDB with name: adaboost-num_features-9
[I 2025-04-07 22:44:51,157] Trial 0 finished with value: 0.8175070862350434 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:45:27,128] Trial 1 finished with value: 0.805936674627149 and parameters: {'n_estimators': 26, 'learning_rate': 0.0022188563978824544, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 16, 'min_samples_leaf': 30}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:46:50,641] Trial 2 finished with value: 0.7575983242569777 and parameters: {'n_estimators': 40, 'learning_rate': 2.091945122591112, 'criterion': 'log_loss', 'max_depth': 30, 'min_samples_split': 61, 'min_samples_leaf': 3}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:48:33,173] Trial 3 finished with value: 0.8046786372638435 and parameters: {'n_estimators': 61, 'learning_rate': 0.0006584390496725909, 'criterion': 'gini', 'max_depth': 28, 'min_samples_split': 21, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:49:08,263] Trial 4 finished with value: 0.8011152934395434 and parameters: {'n_estimators': 54, 'learning_rate': 0.13038372817442442, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 23, 'min_samples_leaf': 24}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:49:37,557] Trial 5 finished with value: 0.7942395454968799 and parameters: {'n_estimators': 63, 'learning_rate': 6.804142036818244, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 18}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:49:56,085] Trial 6 finished with value: 0.7542439914174404 and parameters: {'n_estimators': 57, 'learning_rate': 2.5317582621390655, 'criterion': 'log_loss', 'max_depth': 2, 'min_samples_split': 64, 'min_samples_leaf': 30}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:51:25,408] Trial 7 finished with value: 0.7716423546860529 and parameters: {'n_estimators': 40, 'learning_rate': 0.00043487079473031244, 'criterion': 'log_loss', 'max_depth': 23, 'min_samples_split': 21, 'min_samples_leaf': 8}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:51:38,739] Trial 8 finished with value: 0.7772608033233697 and parameters: {'n_estimators': 48, 'learning_rate': 0.23556152539840808, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 54, 'min_samples_leaf': 22}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:51:47,461] Trial 9 finished with value: 0.7542439914174404 and parameters: {'n_estimators': 26, 'learning_rate': 0.0012012694603346316, 'criterion': 'log_loss', 'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 10}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:52:18,886] Trial 10 finished with value: 0.8092899179525569 and parameters: {'n_estimators': 18, 'learning_rate': 0.0133518443983873, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 43, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8175070862350434.
[I 2025-04-07 22:52:30,572] Trial 11 finished with value: 0.8018273612143514 and parameters: {'n_estimators': 8, 'learning_rate': 0.011201476269214814, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 44, 'min_samples_leaf': 14}. Best is trial 0 with value: 0.8175070862350434.
