[I 2025-04-07 22:00:09,568] A new study created in RDB with name: catboost-num_features-13
[I 2025-04-07 22:01:16,906] Trial 0 finished with value: 0.8188906637425513 and parameters: {'iterations': 164, 'learning_rate': 0.21452421430497562, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5744820300507832, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9337456176876163}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:01:56,894] Trial 1 finished with value: 0.8046364625233497 and parameters: {'iterations': 240, 'learning_rate': 0.3667454722900429, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.3787531454519659, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.86729131859071}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:02:52,617] Trial 2 finished with value: 0.809331653372837 and parameters: {'iterations': 156, 'learning_rate': 0.2512183097830407, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.8647268372268443, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.110444712486359}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:02:59,370] Trial 3 finished with value: 0.8009472622442937 and parameters: {'iterations': 153, 'learning_rate': 0.5626951953619521, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.40146607016241886, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.652013489957321}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:03:06,607] Trial 4 finished with value: 0.8024563447503871 and parameters: {'iterations': 145, 'learning_rate': 0.09573848016794442, 'objective': 'Logloss', 'colsample_bylevel': 0.7342151343535197, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.619802695925067}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:03:14,848] Trial 5 finished with value: 0.7718942960420763 and parameters: {'iterations': 68, 'learning_rate': 0.0023694964347116382, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.21490403631891025, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8110641039715717}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:03:21,385] Trial 6 finished with value: 0.8140693704189885 and parameters: {'iterations': 221, 'learning_rate': 0.12130670307435278, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.49909789795363957, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7758946409706748}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:03:43,302] Trial 7 finished with value: 0.8136920470740394 and parameters: {'iterations': 215, 'learning_rate': 0.24359145019228037, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.15580137316892934, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.9713271716921805}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:03:54,205] Trial 8 finished with value: 0.8041334057333044 and parameters: {'iterations': 226, 'learning_rate': 0.062459322424403926, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9549670124170792, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.137937745215282}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:04:03,555] Trial 9 finished with value: 0.788537942329557 and parameters: {'iterations': 167, 'learning_rate': 0.0062061510968118684, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5910846128091725, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.9056669912456343}. Best is trial 0 with value: 0.8188906637425513.
[I 2025-04-07 22:04:39,386] Trial 10 finished with value: 0.7923111406334296 and parameters: {'iterations': 94, 'learning_rate': 0.011115251130655802, 'objective': 'Logloss', 'colsample_bylevel': 0.6800586254357688, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.401670642913508}. Best is trial 0 with value: 0.8188906637425513.
