[I 2025-04-07 22:01:14,471] A new study created in RDB with name: random-forest-num_features-13
[I 2025-04-07 22:01:24,639] Trial 0 finished with value: 0.8188065075624582 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:01:29,647] Trial 1 finished with value: 0.8143211009013094 and parameters: {'n_estimators': 54, 'criterion': 'entropy', 'max_depth': 25, 'min_samples_split': 14, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:01:35,368] Trial 2 finished with value: 0.7967551457576605 and parameters: {'n_estimators': 90, 'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 12, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:01:41,563] Trial 3 finished with value: 0.8123086628674254 and parameters: {'n_estimators': 85, 'criterion': 'entropy', 'max_depth': 46, 'min_samples_split': 13, 'min_samples_leaf': 17}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:01:55,434] Trial 4 finished with value: 0.8169621534422497 and parameters: {'n_estimators': 193, 'criterion': 'gini', 'max_depth': 22, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:05,519] Trial 5 finished with value: 0.8170458175837038 and parameters: {'n_estimators': 117, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 14, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:20,158] Trial 6 finished with value: 0.811428282732431 and parameters: {'n_estimators': 181, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 17, 'min_samples_leaf': 20}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:24,452] Trial 7 finished with value: 0.8113862310015973 and parameters: {'n_estimators': 42, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 16, 'min_samples_leaf': 11}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:35,146] Trial 8 finished with value: 0.8156204870831072 and parameters: {'n_estimators': 118, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:42,962] Trial 9 finished with value: 0.815830025252126 and parameters: {'n_estimators': 95, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:02:56,111] Trial 10 finished with value: 0.817842533577244 and parameters: {'n_estimators': 152, 'criterion': 'gini', 'max_depth': 35, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:03:06,938] Trial 11 finished with value: 0.8170876584408351 and parameters: {'n_estimators': 154, 'criterion': 'gini', 'max_depth': 37, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:03:17,544] Trial 12 finished with value: 0.8163751513458134 and parameters: {'n_estimators': 147, 'criterion': 'gini', 'max_depth': 36, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 0 with value: 0.8188065075624582.
[I 2025-04-07 22:03:27,784] Trial 13 finished with value: 0.8169199435561391 and parameters: {'n_estimators': 150, 'criterion': 'gini', 'max_depth': 40, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8188065075624582.
