[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:29:32,426] Trial 0 finished with value: 0.8209028733299242 and parameters: {'max_depth': 29, 'learning_rate': 0.012907717902043009, 'n_estimators': 249, 'gamma': 0.17005844388437233, 'min_child_weight': 5, 'subsample': 0.5885824092281986, 'colsample_bytree': 0.8185788349858113}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:33,484] Trial 1 finished with value: 0.8059363231709782 and parameters: {'max_depth': 5, 'learning_rate': 0.025536365462166113, 'n_estimators': 133, 'gamma': 0.43292191730098406, 'min_child_weight': 3, 'subsample': 0.6355169862859636, 'colsample_bytree': 0.7677946686135926}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:35,710] Trial 2 finished with value: 0.7888727394778415 and parameters: {'max_depth': 21, 'learning_rate': 0.5272244863948141, 'n_estimators': 92, 'gamma': 0.18056511604684392, 'min_child_weight': 5, 'subsample': 0.7060619999952129, 'colsample_bytree': 0.7779361631080759}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:41,545] Trial 3 finished with value: 0.7300547744442161 and parameters: {'max_depth': 30, 'learning_rate': 0.0028138877008610013, 'n_estimators': 194, 'gamma': 0.2805095317332064, 'min_child_weight': 6, 'subsample': 0.7024663377657328, 'colsample_bytree': 0.6852832963037867}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:46,879] Trial 4 finished with value: 0.6377394866279713 and parameters: {'max_depth': 19, 'learning_rate': 7.575476910134325e-05, 'n_estimators': 69, 'gamma': 0.20532169627652647, 'min_child_weight': 1, 'subsample': 0.9418977748651132, 'colsample_bytree': 0.6500189036731718}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:52,667] Trial 5 finished with value: 0.6377394866279713 and parameters: {'max_depth': 21, 'learning_rate': 0.00017677710444563373, 'n_estimators': 123, 'gamma': 0.33458173741118696, 'min_child_weight': 2, 'subsample': 0.7386326529776484, 'colsample_bytree': 0.9103554253927909}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:29:56,866] Trial 6 finished with value: 0.6377394866279713 and parameters: {'max_depth': 26, 'learning_rate': 4.39828611664298e-05, 'n_estimators': 186, 'gamma': 0.2743311930859533, 'min_child_weight': 7, 'subsample': 0.5884774918869997, 'colsample_bytree': 0.7458750524397051}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:30:04,717] Trial 7 finished with value: 0.6874188004449435 and parameters: {'max_depth': 15, 'learning_rate': 0.0014555212658688482, 'n_estimators': 268, 'gamma': 0.4921036655868362, 'min_child_weight': 3, 'subsample': 0.7839186057375898, 'colsample_bytree': 0.783640195561284}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:30:08,940] Trial 8 finished with value: 0.8122242782408213 and parameters: {'max_depth': 13, 'learning_rate': 0.06802540543408513, 'n_estimators': 212, 'gamma': 0.21222269091697385, 'min_child_weight': 2, 'subsample': 0.5534469155792366, 'colsample_bytree': 0.6074651347688156}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:30:23,318] Trial 9 finished with value: 0.8153684754358496 and parameters: {'max_depth': 25, 'learning_rate': 0.03131523043039427, 'n_estimators': 226, 'gamma': 0.20418091608731995, 'min_child_weight': 1, 'subsample': 0.8582630374462392, 'colsample_bytree': 0.8003763252031335}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:30:27,877] Trial 10 finished with value: 0.7520648577217556 and parameters: {'max_depth': 32, 'learning_rate': 0.9283022174920275, 'n_estimators': 283, 'gamma': 0.004056961778939938, 'min_child_weight': 5, 'subsample': 0.5059772932065606, 'colsample_bytree': 0.5123381558608104}. Best is trial 0 with value: 0.8209028733299242.
